,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
121,118,Ayo Dosunmu,PG,23,CHI,34,26,26.9,3.9,7.7,.506,1.0,2.8,.344,2.9,4.9,.599,.568,0.9,1.1,.769,0.7,2.5,3.2,2.7,0.8,0.4,1.4,2.4,9.7,2023
122,119,Devon Dotson,PG,23,WAS,6,0,8.8,0.2,1.7,.100,0.2,0.7,.250,0.0,1.0,.000,.150,0.0,0.0,,1.0,0.7,1.7,1.3,0.8,0.0,0.5,1.5,0.5,2023
123,120,Jeff Dowtin,PG,25,TOR,11,0,7.6,1.1,2.1,.522,0.1,0.4,.250,1.0,1.7,.579,.543,0.3,0.3,1.000,0.4,0.7,1.1,1.0,0.2,0.1,0.2,0.4,2.5,2023
124,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2023
125,121,Goran Dragić,PG,36,CHI,33,0,17.1,3.1,7.0,.439,1.2,2.9,.396,1.9,4.1,.470,.522,0.7,1.1,.639,0.4,1.2,1.5,2.8,0.2,0.1,1.2,1.5,8.0,2023
126,122,Andre Drummond,C,29,CHI,29,0,14.1,2.6,4.6,.571,0.0,0.1,.000,2.6,4.5,.580,.571,1.0,1.7,.604,2.3,4.8,7.1,0.8,0.7,0.4,1.1,1.9,6.2,2023
127,123,Chris Duarte,SF,25,IND,16,5,17.9,2.5,7.3,.345,1.1,3.8,.300,1.4,3.5,.393,.422,0.8,1.1,.765,0.3,1.8,2.1,1.3,0.2,0.3,0.8,1.6,6.9,2023
128,124,David Duke Jr.,SG,23,BRK,14,0,9.0,1.4,3.1,.442,0.0,0.4,.000,1.4,2.6,.514,.442,0.3,0.6,.500,0.4,0.6,1.1,0.9,0.4,0.1,0.9,1.6,3.0,2023
129,125,Kevin Durant,PF,34,BRK,35,35,36.2,10.6,18.9,.561,1.7,4.8,.363,8.9,14.1,.629,.607,6.7,7.3,.929,0.3,6.5,6.9,5.3,0.8,1.5,3.5,2.5,29.7,2023
130,126,Jalen Duren,C,19,DET,36,12,24.2,3.1,5.0,.628,0.0,0.0,.000,3.1,5.0,.631,.628,1.1,1.9,.565,3.3,5.0,8.4,1.0,0.5,0.8,1.2,2.6,7.4,2023
